Row_id,county,District,Latitude,Longitude,White Alone,Black Alone,American Ind. or Alaskan Native Alone,Asian Alone,Native Hawaiian and Other Pac. Isl. Alone,Two or More Races,Total,% White,,,
1,Lake County,1,41.42,-87.47,354449,122399,2813,8614,335,11079,499689,71%,,"'County1': {'population': 499689, 'white': 354449, 'latitude': 41.42, 'longitude': -87.47, 'county_name': 'Lake County'},","'County1': {'population': 499689, 'white': 354449, 'latitude': 41.42, 'longitude': -87.47, 'county_name': 'Lake County'},"
2,Porter County,1,41.46,-87.06,159440,8665,687,2627,75,3297,174791,91%,,"'County2': {'population': 174791, 'white': 159440, 'latitude': 41.46, 'longitude': -87.06, 'county_name': 'Porter County'},","'County2': {'population': 174791, 'white': 159440, 'latitude': 41.46, 'longitude': -87.06, 'county_name': 'Porter County'},"
3,Elkhart County,2,41.6,-85.87,184740,12423,1424,2702,192,5409,206890,89%,,"'County3': {'population': 206890, 'white': 184740, 'latitude': 41.6, 'longitude': -85.87, 'county_name': 'Elkhart County'},","'County3': {'population': 206890, 'white': 184740, 'latitude': 41.6, 'longitude': -85.87, 'county_name': 'Elkhart County'},"
4,Fulton County,2,41.05,-86.26,19504,191,197,143,6,286,20327,96%,,"'County4': {'population': 20327, 'white': 19504, 'latitude': 41.05, 'longitude': -86.26, 'county_name': 'Fulton County'},","'County4': {'population': 20327, 'white': 19504, 'latitude': 41.05, 'longitude': -86.26, 'county_name': 'Fulton County'},"
5,Kosciusko County,2,41.24,-85.85,76886,1019,405,1250,58,1208,80826,95%,,"'County5': {'population': 80826, 'white': 76886, 'latitude': 41.24, 'longitude': -85.85, 'county_name': 'Kosciusko County'},","'County5': {'population': 80826, 'white': 76886, 'latitude': 41.24, 'longitude': -85.85, 'county_name': 'Kosciusko County'},"
6,La Porte County,2,41.61,-86.71,94542,12679,556,768,34,3096,111675,85%,,"'County6': {'population': 111675, 'white': 94542, 'latitude': 41.61, 'longitude': -86.71, 'county_name': 'La Porte County'},","'County6': {'population': 111675, 'white': 94542, 'latitude': 41.61, 'longitude': -86.71, 'county_name': 'La Porte County'},"
7,Marshall County,2,41.32,-86.31,44592,439,178,317,51,755,46332,96%,,"'County7': {'population': 46332, 'white': 44592, 'latitude': 41.32, 'longitude': -86.31, 'county_name': 'Marshall County'},","'County7': {'population': 46332, 'white': 44592, 'latitude': 41.32, 'longitude': -86.31, 'county_name': 'Marshall County'},"
8,Miami County,2,40.77,-86.04,32461,1862,345,172,16,818,35674,91%,,"'County8': {'population': 35674, 'white': 32461, 'latitude': 40.77, 'longitude': -86.04, 'county_name': 'Miami County'},","'County8': {'population': 35674, 'white': 32461, 'latitude': 40.77, 'longitude': -86.04, 'county_name': 'Miami County'},"
9,Pulaski County,2,41.04,-86.7,12026,119,62,103,3,172,12485,96%,,"'County9': {'population': 12485, 'white': 12026, 'latitude': 41.04, 'longitude': -86.7, 'county_name': 'Pulaski County'},","'County9': {'population': 12485, 'white': 12026, 'latitude': 41.04, 'longitude': -86.7, 'county_name': 'Pulaski County'},"
10,St. Joseph County,2,41.62,-86.27,215473,37726,1563,7688,234,9550,272234,79%,,"'County10': {'population': 272234, 'white': 215473, 'latitude': 41.62, 'longitude': -86.27, 'county_name': 'St. Joseph County'},","'County10': {'population': 272234, 'white': 215473, 'latitude': 41.62, 'longitude': -86.27, 'county_name': 'St. Joseph County'},"
11,Starke County,2,41.28,-86.64,22515,161,122,95,4,361,23258,97%,,"'County11': {'population': 23258, 'white': 22515, 'latitude': 41.28, 'longitude': -86.64, 'county_name': 'Starke County'},","'County11': {'population': 23258, 'white': 22515, 'latitude': 41.28, 'longitude': -86.64, 'county_name': 'Starke County'},"
12,Wabash County,2,40.8,-85.82,29693,301,230,179,9,416,30828,96%,,"'County12': {'population': 30828, 'white': 29693, 'latitude': 40.8, 'longitude': -85.82, 'county_name': 'Wabash County'},","'County12': {'population': 30828, 'white': 29693, 'latitude': 40.8, 'longitude': -85.82, 'county_name': 'Wabash County'},"
13,Adams County,3,40.75,-84.95,35112,271,150,148,12,375,36068,97%,,"'County13': {'population': 36068, 'white': 35112, 'latitude': 40.75, 'longitude': -84.95, 'county_name': 'Adams County'},","'County13': {'population': 36068, 'white': 35112, 'latitude': 40.75, 'longitude': -84.95, 'county_name': 'Adams County'},"
14,Allen County,3,41.09,-85.07,307261,46730,1814,21450,465,13729,391449,78%,,"'County14': {'population': 391449, 'white': 307261, 'latitude': 41.09, 'longitude': -85.07, 'county_name': 'Allen County'},","'County14': {'population': 391449, 'white': 307261, 'latitude': 41.09, 'longitude': -85.07, 'county_name': 'Allen County'},"
15,De Kalb County,3,41.4,-84.98,42405,317,156,230,30,593,43731,97%,,"'County15': {'population': 43731, 'white': 42405, 'latitude': 41.4, 'longitude': -84.98, 'county_name': 'De Kalb County'},","'County15': {'population': 43731, 'white': 42405, 'latitude': 41.4, 'longitude': -84.98, 'county_name': 'De Kalb County'},"
16,Huntington County,3,40.88,-85.5,35516,336,220,260,28,474,36834,96%,,"'County16': {'population': 36834, 'white': 35516, 'latitude': 40.88, 'longitude': -85.5, 'county_name': 'Huntington County'},","'County16': {'population': 36834, 'white': 35516, 'latitude': 40.88, 'longitude': -85.5, 'county_name': 'Huntington County'},"
17,Jay County,3,40.44,-84.97,19654,129,53,85,10,267,20198,97%,,"'County17': {'population': 20198, 'white': 19654, 'latitude': 40.44, 'longitude': -84.97, 'county_name': 'Jay County'},","'County17': {'population': 20198, 'white': 19654, 'latitude': 40.44, 'longitude': -84.97, 'county_name': 'Jay County'},"
18,Lagrange County,3,41.64,-85.42,40015,226,133,156,12,324,40866,98%,,"'County18': {'population': 40866, 'white': 40015, 'latitude': 41.64, 'longitude': -85.42, 'county_name': 'Lagrange County'},","'County18': {'population': 40866, 'white': 40015, 'latitude': 41.64, 'longitude': -85.42, 'county_name': 'Lagrange County'},"
19,Noble County,3,41.4,-85.42,45624,569,237,255,33,649,47367,96%,,"'County19': {'population': 47367, 'white': 45624, 'latitude': 41.4, 'longitude': -85.42, 'county_name': 'Noble County'},","'County19': {'population': 47367, 'white': 45624, 'latitude': 41.4, 'longitude': -85.42, 'county_name': 'Noble County'},"
